Foundation,Scenario,Care,Fairness,Loyalty,Authority,Sanctity,Liberty,Not Wrong,Wrong
Authority,"You see a girl ignoring her father's orders by taking the car after her curfew.",3%,0%,6%,81%,3%,0%,6%,2.5
Authority,"You see a woman refusing to stand when the judge walks into the courtroom.",3%,0%,0%,80%,3%,0%,13%,2.0
Authority,"You see a girl repeatedly interrupting her teacher as he explains a new concept.",0%,3%,0%,80%,0%,0%,17%,2.0
Authority,"You see a woman spray painting graffiti across the steps of the local courthouse.",3%,0%,0%,78%,16%,0%,3%,3.3
Authority,"You see an intern disobeying an order to dress professionally and comb his hair.",3%,0%,0%,78%,0%,0%,19%,1.9
Authority,"You see a man turn his back and walk away while his boss questions his work.",2%,0%,2%,78%,0%,0%,17%,2.1
Authority,"You see a staff member talking loudly and interrupting the mayor's speech to the public.",0%,8%,8%,76%,5%,3%,0%,2.8
Authority,"You see a teenage girl coming home late and ignoring her parents' strict curfew.",3%,3%,3%,75%,3%,0%,13%,2.3
Authority,"You see a boy spray-painting anarchy symbols on the side of the police station.",6%,0%,0%,75%,9%,3%,6%,2.9
Authority,"You see an employee trying to undermine all of her boss' ideas in front of others.",7%,0%,13%,73%,0%,0%,7%,2.6
Authority,"You see a teaching assistant talking back to the teacher in front of the classrom.",3%,0%,13%,72%,3%,3%,8%,2.5
Authority,"You see a group of women having a long and loud conversation during a church sermon.",3%,0%,15%,72%,10%,0%,0%,2.8
Authority,"You see a star player ignoring her coach's order to come to the bench during a game.",0%,10%,13%,71%,0%,0%,6%,2.1
Authority,"You see a player publicly yelling at his soccer coach during a playoff game.",7%,3%,3%,69%,3%,10%,3%,2.1
Authority,"You see a man secretly watching sports on his cell phone during a pastor's sermon.",7%,3%,3%,69%,0%,0%,17%,1.8
Authority,"You see a boy turning up the TV as his father talks about his military service.",13%,0%,0%,65%,0%,0%,23%,2.1
Authority,"You see a student stating that her professor is a fool during an afternoon class.",13%,3%,6%,65%,0%,0%,13%,2.0
